[2026-03-30T01:29:48.704Z] SERVER STARTING...
[2026-03-30T01:29:48.884Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T01:29:48.885Z] [Mount] User API Routes -> /api
[2026-03-30T04:59:53.590Z] SERVER STARTING...
[2026-03-30T04:59:53.716Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T04:59:53.716Z] [Mount] User API Routes -> /api
[2026-03-30T05:04:29.524Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:04:29.537Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:04:29.570Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
[2026-03-30T05:04:29.591Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:04:29.592Z] [API 404 Error] Unhandled API request : GET /api/samples
[2026-03-30T05:04:29.617Z] [REQUEST] GET /favicon.ico | Auth: NO | Guest: NO
[2026-03-30T05:04:29.618Z] [SPA Fallback] Serving index.html for unknown path: /favicon.ico
[2026-03-30T05:05:11.611Z] SERVER STARTING...
[2026-03-30T05:05:11.764Z] [Mount] Admin API Routes -> /api/admin
[2026-03-30T05:05:11.765Z] [Mount] User API Routes -> /api
[2026-03-30T05:05:19.597Z] [REQUEST] GET /api/samples | Auth: NO | Guest: NO
[2026-03-30T05:06:03.343Z] [REQUEST] GET / | Auth: NO | Guest: NO
[2026-03-30T05:06:03.376Z] [REQUEST] GET /css/style.css | Auth: NO | Guest: NO
[2026-03-30T05:06:03.377Z] [REQUEST] GET /js/app.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.714Z] [REQUEST] GET /assets/img/hero_premium.png | Auth: NO | Guest: NO
[2026-03-30T05:06:03.955Z] [REQUEST] GET /js/modules/state.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.957Z] [REQUEST] GET /js/modules/auth.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.960Z] [REQUEST] GET /js/modules/wizard.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.962Z] [REQUEST] GET /js/modules/projects_list.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.962Z] [REQUEST] GET /js/modules/settings.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.963Z] [REQUEST] GET /js/modules/navigation.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.968Z] [REQUEST] GET /js/modules/dashboard.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.969Z] [REQUEST] GET /js/modules/api.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.974Z] [REQUEST] GET /js/modules/script.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.979Z] [REQUEST] GET /js/modules/admin.js | Auth: NO | Guest: NO
[2026-03-30T05:06:03.980Z] [REQUEST] GET /js/modules/samples.js | Auth: NO | Guest: NO
[2026-03-30T05:06:04.029Z] [REQUEST] GET /js/modules/constants.js | Auth: NO | Guest: NO
